Cluster 1,Cluster 2,Cluster 3,Cluster 4
10,6,13,22
30,15,24,35
37,26,30,59
45,33,39,61
48,49,38,62
32,48,43,47
30,37,54,43
25,35,63,38
21,30,84,61
49,40,97,64
57,43,109,70
49,45,77,60
40,64,88,67
39,61,83,94
51,57,101,99
52,58,78,107
55,70,56,90
50,65,65,93
68,60,62,87
61,61,57,75
41,40,56,59
48,50,49,69
64,80,69,88
72,93,89,109
76,77,97,97
94,90,98,107
95,93,108,98
99,78,92,89
110,58,84,74
106,68,84,80
95,91,98,92
95,96,95,85
62,123,131,127
34,88,86,106
22,70,54,73
14,28,12,27
13,24,13,22
16,20,13,23
24,30,30,29
56,44,37,43
64,39,39,51
55,33,32,52
51,34,31,47
34,46,24,43
20,43,24,46
23,30,18,48
24,21,14,37
21,25,18,28
17,34,21,29
22,42,22,26
